id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1489424,https://www.airbnb.com/rooms/1489424,20240506232017,2024-05-06,city scrape,"Welcoming, easygoing, comfy bed, entire level","Queen size bed, extra comfy mattress, with access to a private bathroom with shower. A single bed is also available in that room. You will have an entire level of the house to yourself. The large, well-lit room is located in our furnished basement. Central A/C, wi-fi. One mile to UAlbany and College of St. Rose. 35 minutes to Saratoga tracks and SPAC. An hour to mountains. Quiet dead-end street with ample on-street parking.  Equipped kitchen for your use. Hi-def cable tv",Quiet yet convenient.,https://a0.muscache.com/pictures/21977748/1dc80cd7_original.jpg,5294164,https://www.airbnb.com/users/show/5294164,Efrat,2013-03-02,"Albany, NY","I am originally from Brooklyn, New York. As an adult I have lived in both the U.S. and Israel. I am on faculty at Empire State College. My husband, Dan, works for NY State as a researcher on prison population issues. Our three daughters are young adults and scattered in various locations. We have hosted several exchange students from Europe, South America and Asia and our house was always full of young people when our daughters were younger. We are relaxed and welcoming hosts.",within an hour,100%,83%,f,https://a0.muscache.com/im/users/5294164/profile_pic/1375754135/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/5294164/profile_pic/1375754135/original.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,Neighborhood highlights,FOURTEENTH WARD,,42.66719,-73.8158,Private room in home,Private room,2,1.0,1 private bath,1,0,"[""Heating"", ""Backyard"", ""Dishes and silverware"", ""Wifi"", ""Shampoo"", ""First aid kit"", ""Fire extinguisher"", ""Dishwasher"", ""Free street parking"", ""Host greets you"", ""Microwave"", ""Hot water"", ""Free washer \u2013 In unit"", ""TV with standard cable"", ""Kitchen"", ""Dedicated workspace"", ""Smoke alarm"", ""Oven"", ""Cooking basics"", ""Central air conditioning"", ""Essentials"", ""Refrigerator"", ""Stove"", ""Dryer"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Coffee maker"", ""Free parking on premises""]",$50.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,2,14,255,2024-05-06,250,48,2,2013-09-10,2024-04-21,4.75,4.82,4.57,4.92,4.92,4.82,4.81,,f,1,0,1,0,1.93
2992450,https://www.airbnb.com/rooms/2992450,20240506232017,2024-05-06,previous scrape,Luxury 2 bedroom apartment,"The apartment is located in a quiet neighborhood . Fully furnished. Linens and towels are provided. It's two blocks away from downtown Albany, and the Palace theater.",,https://a0.muscache.com/pictures/44627226/0e72c75c_original.jpg,4621559,https://www.airbnb.com/users/show/4621559,Kenneth,2013-01-07,"New York, NY",I am a real down to earth & cool person.,within a few hours,100%,100%,f,https://a0.muscache.com/im/users/4621559/profile_pic/1363081467/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4621559/profile_pic/1363081467/original.jpg?aki_policy=profile_x_medium,,1,5,"['email', 'phone']",t,f,,THIRD WARD,,42.65789,-73.7537,Entire rental unit,Entire home/apt,4,,1 bath,2,,"[""Smoke alarm"", ""Heating"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Essentials"", ""Wifi"", ""TV with standard cable"", ""Kitchen""]",,28,1125,28,28,1125,1125,28.0,1125.0,,t,0,0,0,36,2024-05-06,9,0,0,2014-07-01,2022-08-17,3.56,3.44,3.56,4.22,4.56,3.22,3.67,,f,1,1,0,0,0.08
3820211,https://www.airbnb.com/rooms/3820211,20240506232017,2024-05-06,city scrape,Restored Precinct in Center Sq. w/Parking,"Cozy, cool little 1BR Apt in the heart Albany's Center Sq. close to everything.  Enjoy the hip, walking neighborhood and verdant Washington Park in a neighborhood with great eats, architecture and culture... Everything you need down to the corkscrew.","Great restaurants, architecture, walking, people watching and arts.",https://a0.muscache.com/pictures/prohost-api/Hosting-3820211/original/7a087429-5f8f-4c7f-990a-291a82b784dc.jpeg,19648678,https://www.airbnb.com/users/show/19648678,Terra,2014-08-07,,"I'm from Kansas City, MO. I've driven the entire US, logging over a  million miles on a 10 year working road trip. I settled in Albany, NY, a hardworking, no-nonsense sort of town, drenched in history, education and politics. I love this town not just for the town itself as much as the location. It's truly a sportsman's(sportswoman's) paradise, while being so close to very civilized civilization. There's easy access to NYC, Saratoga, Lake George, Vermont, Montreal & my favorite The Berkshires in Massachusetts.  ",within an hour,100%,69%,f,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_x_medium,Center Square & Hudson/Park,4,7,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,,42.65222,-73.76724,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,1,"[""Heating"", ""Hangers"", ""Pets allowed"", ""Dishes and silverware"", ""Iron"", ""Wifi"", ""Shampoo"", ""Fire extinguisher"", ""Dishwasher"", ""Microwave"", ""Hot water"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""Free dryer \u2013 In unit"", ""Kitchen"", ""Smoke alarm"", ""Oven"", ""Self check-in"", ""Cooking basics"", ""Central air conditioning"", ""HDTV with standard cable, Apple TV"", ""Essentials"", ""Refrigerator"", ""Stove"", ""Keypad"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Free parking on premises""]",$118.00,2,1125,1,3,1125,1125,2.7,1125.0,,t,27,56,86,361,2024-05-06,300,15,3,2014-08-15,2024-04-28,4.74,4.89,4.87,4.86,4.81,4.82,4.79,,f,4,4,0,0,2.53
5651579,https://www.airbnb.com/rooms/5651579,20240506232017,2024-05-06,city scrape,Large studio apt  by Capital Center & ESP@,"Spacious studio with hardwood floors, fully equipped kitchen, clean and bright. Large modern bath .  Full Cable TV and WiFi. Walking distance to the new Renaissance Hotel.<br />Walk to everything downtown! The Empire Plaza  and the Egg are  across the street.You can't get any closer, to the MVP Arena,  as well as Restaurants, bars, churches. Walk to  Capital and the new Capital Convention Center. Laundry facilities.","The neighborhood is very eclectic. We have a variety of restaurants, markets and shopping along with cultural things to do . the Capital is within a five minute walk as is the Empire Plaza. We have Cafe Capricio on Grand St for great northern Italian. Down the street we also have a traditional well known Italian restaurant Lombardos, for great red sauce. There are plenty of small cafe/ bars within walking distance too",https://a0.muscache.com/pictures/b3fc42f3-6e5e-4704-9d0f-8ceee5d32046.jpg,29288920,https://www.airbnb.com/users/show/29288920,Gregg,2015-03-13,"Albany, NY",I am an Albany native .I have lived in Ireland and had a B & B in Tramore County Waterford back in the early nineties. While doing so we met a lot of wonderful people. I have been in the real estate business for over 30 years . I believe in keeping the mind and body fit. I am easy going and love a good laugh. ,within an hour,100%,99%,f,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_x_medium,,2,4,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,SECOND WARD,,42.64615,-73.75966,Entire rental unit,Entire home/apt,2,1.0,1 bath,0,1,"[""Luggage dropoff allowed"", ""Heating"", ""Hangers"", ""Backyard"", ""Bed linens"", ""Air conditioning"", ""Dishes and silverware"", ""Iron"", ""Wifi"", ""Lockbox"", ""Shampoo"", ""Free street parking"", ""Fire extinguisher"", ""Microwave"", ""Hot water"", ""Hair dryer"", ""Kitchen"", ""Dedicated workspace"", ""Smoke alarm"", ""Oven"", ""TV"", ""Long term stays allowed"", ""Self check-in"", ""Cooking basics"", ""Essentials"", ""Refrigerator"", ""Stove"", ""Carbon monoxide alarm"", ""Private entrance"", ""Coffee maker"", ""Free parking on premises""]",$90.00,1,45,2,2,1125,1125,2.0,1125.0,,t,11,15,15,15,2024-05-06,343,28,2,2015-05-08,2024-04-21,4.51,4.61,4.45,4.82,4.87,4.79,4.64,,f,2,1,1,0,3.13
6623339,https://www.airbnb.com/rooms/6623339,20240506232017,2024-05-06,city scrape,Center Sq. Loft in Converted Precinct w/ Parking,"Large renovated 1 bedroom apartment in converted police precinct with original tin ceilings. Center Square-the ""village in the city."" Located in a restored police precinct, you are within walking distance of everything, including verdant Washington Park, restaurants and pubs of Lark St., the state capitol, downtown, Albany Med/Law/Pharmacy.","Located in Albany's finest urban neighborhood, bordering on beautiful Washington Park and funky Lark Street with its many shops and restaurants,. The building is a walking distance to downtown, the Capitol, Albany Med, Albany Law, and SUNY Albany. Literally only steps to all of life's needs.",https://a0.muscache.com/pictures/prohost-api/Hosting-6623339/original/fe9b077d-2c75-458d-a4c1-71fed46d598a.jpeg,19648678,https://www.airbnb.com/users/show/19648678,Terra,2014-08-07,,"I'm from Kansas City, MO. I've driven the entire US, logging over a  million miles on a 10 year working road trip. I settled in Albany, NY, a hardworking, no-nonsense sort of town, drenched in history, education and politics. I love this town not just for the town itself as much as the location. It's truly a sportsman's(sportswoman's) paradise, while being so close to very civilized civilization. There's easy access to NYC, Saratoga, Lake George, Vermont, Montreal & my favorite The Berkshires in Massachusetts.  ",within an hour,100%,69%,f,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_x_medium,Center Square & Hudson/Park,4,7,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,,42.65222,-73.76724,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,1,"[""Heating"", ""Hangers"", ""Free parking on premises"", ""Bed linens"", ""Air conditioning"", ""Dishes and silverware"", ""Iron"", ""Wifi"", ""Shampoo"", ""Free street parking"", ""Dishwasher"", ""Microwave"", ""Hot water"", ""Hair dryer"", ""TV with standard cable"", ""Kitchen"", ""Washer"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Oven"", ""Self check-in"", ""Cooking basics"", ""Essentials"", ""Refrigerator"", ""Stove"", ""Keypad"", ""Dryer"", ""Carbon monoxide alarm"", ""Private entrance"", ""Coffee maker"", ""Patio or balcony""]",$120.00,2,1125,1,3,1125,1125,2.7,1125.0,,t,26,55,82,357,2024-05-06,314,11,4,2015-06-07,2024-04-27,4.73,4.83,4.71,4.83,4.69,4.8,4.72,,f,4,4,0,0,2.89
8035768,https://www.airbnb.com/rooms/8035768,20240506232017,2024-05-06,previous scrape,Entire Beautiful French Victorian 1884,"Stunningly renovated French Victorian originally built in 1884 .  Two finely furnished bedrooms are available.  King or Queen size beds, down quilts, large closets, Wireless internet, apple TV, NETFLIX, and Direct TV HD Television, central A/C. All ideally located near the edge of Washington Park and Downtown Albany 's Entertainment and fine Dining. Walking distance from Albany Medical Center, St Rose College, Albany Law School.  On a main bus line. Off Street private parking is also provided.","There is a Barbershop with 1900' barber chairs and décor across the street (Duke's), there is a Mexican restaurant, Pizza and Italian take out, Gyro's, Joe's Chicken, a laundry mat and liquor store all with 2 blocks of the house.",https://a0.muscache.com/pictures/103429331/a0a6c0b1_original.jpg,42430824,https://www.airbnb.com/users/show/42430824,John M,2015-08-24,,"A short description of myself as requested by Airbnb. I was born in San Antonio Texas and move to the Albany area when I was very young. I grew up in the Capital district and know it well. The nightlife, the hiking trails, nature preserves, parks, restaurants, social scene, local lakes, and attractions. I worked in St Peter's Hospital as a surgical scrub tech/nurse from ages 16 to 18. I went to College in VT at St Michael's and worked on the ambulance as an EMT for 4 yrs there. I graduated with a degree in History/Political Science and a minor in Philosophy. I then did 2 years pre-med as a local collage and a Internal Medical Residency at Albany Medical Center. I Have had training in Dermatology as well at the University of Houston Texas Medical Center. My father is a Medical Doctor, my grand father, and my great grandfather. Currently I work 2 days a week at the Veteran's hospital seeing internal medicine patients and 3 days a week with my father seeing Dermatology patients.  We have a lovely Day Spa above our medial office which I run. We provide manicure, pedicure, facials, laser hair removal, laser skin resurfacing, Botox, cosmetic filler, Laser assisted Double chin removal, unwanted brown and red spot removal anywhere on the body. Any of our guest are automatically eligible for a 10% on any of the services offered at my spa. So feel free to inquire further and we hope you choose to stay with us at Airbnb some day.",a few days or more,40%,56%,f,https://a0.muscache.com/im/pictures/user/529bac50-7052-4639-bf62-3f4080d219d8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/529bac50-7052-4639-bf62-3f4080d219d8.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,Neighborhood highlights,TENTH WARD,,42.66088,-73.78147,Entire home,Entire home/apt,6,,3.5 baths,3,,"[""Luggage dropoff allowed"", ""Private backyard \u2013 Fully fenced"", ""Heating"", ""Freezer"", ""Portable air conditioning"", ""Hangers"", ""Pets allowed"", ""Bed linens"", ""Dishes and silverware"", ""Private patio or balcony"", ""Iron"", ""Wifi"", ""Mini fridge"", ""Shampoo"", ""First aid kit"", ""Fire extinguisher"", ""Dishwasher"", ""Free street parking"", ""Pocket wifi"", ""Microwave"", ""Hot water"", ""Hair dryer"", ""Indoor fireplace: gas"", ""Dedicated workspace"", ""Kitchen"", ""Smoke alarm"", ""Exterior security cameras on property"", ""Extra pillows and blankets"", ""Self check-in"", ""Long term stays allowed"", ""Central air conditioning"", ""TV with Amazon Prime Video, Apple TV, Netflix, Roku, standard cable"", ""Essentials"", ""AC - split type ductless system"", ""Refrigerator"", ""Laundromat nearby"", ""Window AC unit"", ""Carbon monoxide alarm"", ""Free dryer \u2013 In building"", ""Room-darkening shades"", ""Dining table"", ""Free washer \u2013 In building"", ""Private entrance"", ""Smart lock"", ""Coffee maker"", ""Free parking on premises""]",,2,1125,2,2,1125,1125,2.0,1125.0,,t,14,44,59,334,2024-05-06,56,4,0,2015-09-02,2024-01-28,4.75,4.81,4.78,4.92,4.8,4.74,4.75,,f,2,1,1,0,0.53
8035784,https://www.airbnb.com/rooms/8035784,20240506232017,2024-05-06,city scrape,Delightful French Victorian,"Stunningly renovated French Victorian originally built in 1884 .  Two finely furnished bedrooms are available.  King or Queen size beds, down quilts, large closets, Wireless internet, apple TV, NETFLIX, and Direct TV HD Television, central A/C. All ideally located near the edge of Washington Park and Downtown Albany 's Entertainment and fine Dining. Walking distance from Albany Medical Center, St Rose College, Albany Law School.  On a main bus line. Off Street private parking is also provided.","There is a Barbershop with 1900' barber chairs and décor across the street (Duke's), there is a Mexican restaurant, Pizza and Italian take out, Gyro's, Joe's Chicken, a laundry mat and liquor store all with 2 blocks of the house.",https://a0.muscache.com/pictures/102414176/e6b76700_original.jpg,42430824,https://www.airbnb.com/users/show/42430824,John M,2015-08-24,,"A short description of myself as requested by Airbnb. I was born in San Antonio Texas and move to the Albany area when I was very young. I grew up in the Capital district and know it well. The nightlife, the hiking trails, nature preserves, parks, restaurants, social scene, local lakes, and attractions. I worked in St Peter's Hospital as a surgical scrub tech/nurse from ages 16 to 18. I went to College in VT at St Michael's and worked on the ambulance as an EMT for 4 yrs there. I graduated with a degree in History/Political Science and a minor in Philosophy. I then did 2 years pre-med as a local collage and a Internal Medical Residency at Albany Medical Center. I Have had training in Dermatology as well at the University of Houston Texas Medical Center. My father is a Medical Doctor, my grand father, and my great grandfather. Currently I work 2 days a week at the Veteran's hospital seeing internal medicine patients and 3 days a week with my father seeing Dermatology patients.  We have a lovely Day Spa above our medial office which I run. We provide manicure, pedicure, facials, laser hair removal, laser skin resurfacing, Botox, cosmetic filler, Laser assisted Double chin removal, unwanted brown and red spot removal anywhere on the body. Any of our guest are automatically eligible for a 10% on any of the services offered at my spa. So feel free to inquire further and we hope you choose to stay with us at Airbnb some day.",a few days or more,40%,56%,f,https://a0.muscache.com/im/pictures/user/529bac50-7052-4639-bf62-3f4080d219d8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/529bac50-7052-4639-bf62-3f4080d219d8.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,Neighborhood highlights,TENTH WARD,,42.66063,-73.78115,Private room in home,Private room,2,2.5,2.5 shared baths,1,1,"[""Heating"", ""Hangers"", ""Backyard"", ""Pets allowed"", ""Bed linens"", ""Private patio or balcony"", ""Iron"", ""Wifi"", ""Shampoo"", ""First aid kit"", ""Fire extinguisher"", ""Free street parking"", ""Microwave"", ""Hot water"", ""Hair dryer"", ""TV with standard cable"", ""Dedicated workspace"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Self check-in"", ""Central air conditioning"", ""Essentials"", ""Refrigerator"", ""Window AC unit"", ""Carbon monoxide alarm"", ""Private entrance"", ""Smart lock"", ""Indoor fireplace"", ""Lock on bedroom door"", ""Long term stays allowed"", ""Free parking on premises""]",$199.00,3,65,3,3,65,65,3.0,65.0,,t,29,59,89,179,2024-05-06,18,0,0,2015-10-17,2020-07-25,4.61,4.83,4.61,4.78,4.83,4.67,4.72,,f,2,1,1,0,0.17
9005989,https://www.airbnb.com/rooms/9005989,20240506232017,2024-05-06,city scrape,"Studio in The heart of Center SQ, in Albany NY","(21 years of age or older ONLY) NON- SMOKING.. NO PARTIES Allowed.  Cozy basement apartment in a historic brownstone in the heart of ""Center Square"".  Surrounded by shops, restaurants, and night life. Walking distance to Albany Med, State Offices, The State Capital, and The Empire State Plaza. 30 mins from Saratoga Raceway. 50 mins from Lake George. 1/2 mile Palace theater","There are many shops, restaurants, bars, museums, and concert venues within walking distance of the apartment! The City’s largest park, Washington Park, is less than one block away!  Many State offices and Government buildings are also in close proximity.",https://a0.muscache.com/pictures/d242a77e-437c-4d0a-9029-005a05f8d282.jpg,17766924,https://www.airbnb.com/users/show/17766924,Sugey,2014-07-07,"Albany, NY","",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/ae311d04-cbca-423a-aa92-8a4b3d6997de.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ae311d04-cbca-423a-aa92-8a4b3d6997de.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,,42.65559,-73.76506,Entire rental unit,Entire home/apt,4,1.0,1 bath,1,2,"[""Heating"", ""Hangers"", ""Pets allowed"", ""Bed linens"", ""Dishes and silverware"", ""Wifi"", ""Shampoo"", ""Portable fans"", ""Fire extinguisher"", ""Dishwasher"", ""Free street parking"", ""Microwave"", ""Hot water"", ""Hair dryer"", ""Kitchen"", ""Smoke alarm"", ""Oven"", ""TV"", ""Conditioner"", ""Long term stays allowed"", ""Cooking basics"", ""Self check-in"", ""Essentials"", ""Refrigerator"", ""Stove"", ""Laundromat nearby"", ""Pack \u2019n play/Travel crib"", ""Window AC unit"", ""Carbon monoxide alarm"", ""Private entrance"", ""Smart lock"", ""Coffee maker"", ""Shower gel""]",$88.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,13,41,67,341,2024-05-06,587,36,4,2016-08-07,2024-04-16,4.8,4.87,4.83,4.95,4.92,4.87,4.78,,f,1,1,0,0,6.22
9501054,https://www.airbnb.com/rooms/9501054,20240506232017,2024-05-06,city scrape,Spacious suite with full bath by Capital  Center,"Great location within walking distance to the Capital. It is a good size bedroom with WiFi internet . Private full bath.  We provide in the room a small refrigerator, Microwave ,coffee pot,iron ,hair dryer and  TV. Lots of entertainment nearby. Brew pubs, restaurants, the NYS Museum. Governor's Mansion. Washington Park.Capital Rep Theater as well as the Palace Theater.","The place is located in the Historic Mansion neighborhood . It""s  a great mix of people , close to everything there is to see and do in downtown Albany. Walk to the Governors Mansion, The new Capital Center Convention Center, The Times Union Center for entertainment , and all sorts of culinary delights. Plenty of brew pubs and Italian restaurants",https://a0.muscache.com/pictures/45153167-d704-48ed-9320-ab2f139bd352.jpg,29288920,https://www.airbnb.com/users/show/29288920,Gregg,2015-03-13,"Albany, NY",I am an Albany native .I have lived in Ireland and had a B & B in Tramore County Waterford back in the early nineties. While doing so we met a lot of wonderful people. I have been in the real estate business for over 30 years . I believe in keeping the mind and body fit. I am easy going and love a good laugh. ,within an hour,100%,99%,f,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_x_medium,,2,4,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,SECOND WARD,,42.64734,-73.75851,Private room in rental unit,Private room,2,1.0,1 private bath,1,2,"[""Heating"", ""Hangers"", ""Bed linens"", ""Dishes and silverware"", ""Iron"", ""Wifi"", ""Lockbox"", ""Mini fridge"", ""Shampoo"", ""Portable fans"", ""Free street parking"", ""Microwave"", ""Hot water"", ""Hair dryer"", ""TV with standard cable"", ""Dedicated workspace"", ""Smoke alarm"", ""Self check-in"", ""Long term stays allowed"", ""Essentials"", ""Refrigerator"", ""Laundromat nearby"", ""Window AC unit"", ""Carbon monoxide alarm"", ""Private entrance"", ""Lock on bedroom door"", ""Coffee maker"", ""Shower gel""]",$69.00,1,30,2,3,30,30,2.3,30.0,,t,19,39,61,61,2024-05-06,381,40,3,2016-02-02,2024-05-02,4.53,4.7,4.5,4.83,4.85,4.75,4.65,,f,2,1,1,0,3.79
10768745,https://www.airbnb.com/rooms/10768745,20240506232017,2024-05-06,city scrape,Alb hospital area studio bath wifi. (Red),Spacious warm studio in 1840 house close to hospitals and downtown. Own bath flat screen cable tv wireless internet ground floor. Double bed coffee tea fridge microwave and parking. Suit 1. On park walk to post office cvs Chinese sports bar. Comfortable and decorated with taste. Irish host,,https://a0.muscache.com/pictures/aa3b62f5-fbd8-4afd-8104-b93a8711d80f.jpg,5691268,https://www.airbnb.com/users/show/5691268,Elizabeth,2013-03-30,"Albany, NY",I'm Irish living in Albany NY.  I have 3 grown up kids.  I have 2 chihuauas    I am visiting Toronto to meet my sister and nephew who are visiting from Ireland.  Don't smoke or drink just love my dogs!,within a few hours,100%,89%,t,https://a0.muscache.com/im/pictures/user/d34e69f3-8c6e-48e7-b3f5-c2d42939675a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d34e69f3-8c6e-48e7-b3f5-c2d42939675a.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,,FOURTEENTH WARD,,42.66078,-73.80553,Entire home,Entire home/apt,1,1.0,1 bath,1,0,"[""Heating"", ""Hangers"", ""Free parking on premises"", ""Bed linens"", ""Dishes and silverware"", ""Iron"", ""Wifi"", ""Lockbox"", ""Shampoo"", ""Microwave"", ""Hot water"", ""Hair dryer"", ""TV with standard cable"", ""Kitchen"", ""Dedicated workspace"", ""Smoke alarm"", ""Oven"", ""Self check-in"", ""Essentials"", ""Refrigerator"", ""Single level home"", ""Window AC unit"", ""Ethernet connection"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Patio or balcony""]",$50.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,3,27,50,135,2024-05-06,649,110,5,2016-02-05,2024-04-25,4.81,4.88,4.77,4.93,4.88,4.92,4.9,,f,2,2,0,0,6.46
